ward_number,ward_name,distance_to_water_meters,distance_to_water_body_meters,water_tier,water_cost_multiplier
117,DABRI,0.0,1054.1,W1,1.0
118,SAGARPUR,0.0,1186.1,W1,1.0
119,MANGLAPURI,0.0,150.5,W1,1.0
120,DWARKA-B,0.0,423.8,W1,1.0
121,DWARKA-A,0.0,630.7,W1,1.0
122,MATIALA,0.0,570.1,W1,1.0
123,KAKROLA,0.0,584.4,W1,1.0
124,NANGLI SAKRAWATI,0.0,326.3,W1,1.0
125,CHHAWALA,0.0,378.6,W1,1.0
126,ISAPUR,0.0,175.4,W1,1.0
127,NAJAFGARH,0.0,442.1,W1,1.0
128,DICHAON KALAN,0.0,40.8,W1,1.0
129,ROSHAN PURA,0.0,887.7,W1,1.0
130,DWARKA-C,0.0,1035.7,W1,1.0
131,BIJWASAN,0.0,1286.4,W1,1.0
132,KAPASHERA,0.0,453.8,W1,1.0
133,MAHIPALPUR,0.0,23.7,W1,1.0
134,RAJ NAGAR,320.4,1145.4,W2,1.35
135,PALAM,0.0,343.6,W1,1.0
136,MADHU VIHAR,0.0,989.2,W1,1.0
137,MAHAVIR ENCLAVE,0.0,599.0,W1,1.0
138,SADH NAGAR,0.0,700.8,W1,1.0
139,NARAINA,0.0,953.7,W1,1.0
140,INDER PURI,0.0,735.3,W1,1.0
141,RAJINDER NAGAR,0.0,795.0,W1,1.0
142,DARYAGANJ,0.0,308.8,W1,1.0
143,SIDHARTHA NAGAR,0.0,288.9,W1,1.0
144,LAJPAT NAGAR,0.0,838.3,W1,1.0
145,ANDREWS GANJ,0.0,645.1,W1,1.0
146,AMAR COLONY,0.0,888.2,W1,1.0
147,KOTLA MUBARAKPUR,0.0,883.8,W1,1.0
148,HAUZ KHAS,0.0,937.5,W1,1.0
149,MALVIYA NAGAR,0.0,1608.0,W1,1.0
150,GREEN PARK,0.0,264.2,W1,1.0
151,MUNIRKA,0.0,1162.9,W1,1.0
152,R.K. PURAM,0.0,748.7,W1,1.0
153,VASANT VIHAR,0.0,1124.4,W1,1.0
154,LADO SARAI,0.0,485.1,W1,1.0
155,MEHRAULI,0.0,74.1,W1,1.0
156,VASANT KUNJ,0.0,693.7,W1,1.0
157,AYA NAGAR,0.0,94.0,W1,1.0
158,BHATI,0.0,866.7,W1,1.0
159,CHHATARPUR,0.0,872.7,W1,1.0
160,SAID-UL-AJAIB,0.0,614.5,W1,1.0
161,DEOLI,0.0,151.2,W1,1.0
162,TIGRI,704.4,1895.1,W2,1.35
163,SANGAM VIHAR-A,0.0,177.4,W1,1.0
164,DAKSHIN PURI,347.8,1767.6,W2,1.35
165,MADANGIR,312.3,1619.8,W2,1.35
166,PUSHP VIHAR,0.0,974.6,W1,1.0
167,KHANPUR,0.0,1211.4,W1,1.0
168,SANGAM VIHAR-C,0.0,865.8,W1,1.0
169,SANGAM VIHAR-B,39.8,1145.0,W1,1.0
170,TUGHLAKABAD EXTENSION,0.0,619.0,W1,1.0
171,CHITARANJAN PARK,0.0,1938.9,W1,1.0
172,CHIRAG DELHI,0.0,1084.0,W1,1.0
173,GREATER KAILASH,0.0,931.9,W1,1.0
174,SRI NIWAS PURI,0.0,103.8,W1,1.0
175,KALKAJI,48.9,918.3,W1,1.0
