ward_number,mean_normalized_difference_vegetation_index
1,0.25237601834573686
2,0.24518042230073345
3,0.31285724295402834
4,0.29128524910052883
5,0.2781525820619609
6,0.29324825716614006
7,0.2992685971976406
8,0.2852078566491906
9,0.15565926849838696
10,0.3288904537162467
11,0.2700614544563318
12,0.37716533330377455
13,0.3292374723147871
14,0.3689883827933311
15,0.1711629869483525
16,0.20416852488015885
17,0.19024414751090468
18,0.18069610940084022
19,0.15674749254186415
20,0.18630438244133404
21,0.2773737489514464
22,0.3571533015058947
23,0.26174884052344305
24,0.22662331099615388
25,0.10310063454230152
26,0.25918579648278883
27,0.2510756586432173
28,0.26493312386818857
29,0.30371812494429773
30,0.2630114907724151
31,0.2330897826490937
32,0.22690670383189232
33,0.23299810406134278
34,0.24201362464089005
35,0.27287791845442916
36,0.2729900802466978
37,0.1152222406193594
38,0.08449395411007783
39,0.14063807104070536
40,0.17015293639532864
41,0.0887860940426315
42,0.2385557847244319
43,0.22998377550450816
44,0.1960750462385544
45,0.26466179802374123
46,0.11613364036738873
47,0.09059756926435605
48,0.2633601197911537
49,0.27568883055892385
50,0.22793183801661066
51,0.23460147695070538
52,0.23373627014557746
53,0.2871663674998775
54,0.3387648847806555
55,0.3288562930860392
56,0.30999616342217357
57,0.3033730240527571
58,0.29744457402090085
59,0.27856113471322413
60,0.36780752617739393
61,0.24408115728822288
62,0.2387499554245744
63,0.15250140462271555
64,0.28729049850470656
65,0.23061773177051112
66,0.35988508552563175
67,0.22708258675476
68,0.26102070680174405
69,0.2993139191348727
70,0.25531341053704
71,0.23292867047035115
72,0.16671760319951737
73,0.37020827753062385
74,0.3106282709895702
75,0.16911787297990025
76,0.1722358767642795
77,0.314007946970815
78,0.08478719254219273
79,0.14141545140627382
80,0.16188974224040065
81,0.14912343329020322
82,0.24382152649053807
83,0.25387546154309626
84,0.2475016120848226
85,0.2746453696848287
86,0.2536459953893105
87,0.18943110861291093
88,0.19604768847222753
89,0.2713242504697204
90,0.19760965150991777
91,0.21709647526142822
92,0.2411671223780908
93,0.2500706548310443
94,0.21468259718518248
95,0.15934509068721436
96,0.23018315035993198
97,0.1972422401891799
98,0.26841487202194275
99,0.24121257100632948
100,0.3201336631082882
101,0.19263606206722345
102,0.2738901189087962
103,0.24568063620181863
104,0.2895446318286848
105,0.0857751622140503
106,0.23220600017452203
107,0.28685003911556634
108,0.17042877068318368
109,0.1895552774650059
110,0.34833706599941144
111,0.2407325851258545
112,0.1400391137667361
113,0.15452392444182006
114,0.1075043414489829
115,0.09066423917700275
116,0.135212994567325
117,0.11453022381956945
118,0.16177012397469037
119,0.23400061334882244
120,0.3211954403519172
121,0.37989699157170104
122,0.2485578699851825
123,0.2320945663499056
124,0.25012825521859905
125,0.27257983544207764
126,0.21173676731326746
127,0.2550173133005836
128,0.25992072903478414
129,0.22305225261694067
130,0.3401559858991853
131,0.40403846594854304
132,0.3105932209575142
133,0.258237341048925
134,0.11261216572033823
135,0.23199531545417923
136,0.16443507436486815
137,0.13844654320839625
138,0.11382202875960068
139,0.2554337663383097
140,0.33496432413809885
141,0.424643361313282
142,0.3749526570553693
143,0.3470209331862749
144,0.3297514694161402
145,0.3364052781357051
146,0.2947345550667433
147,0.2485303146930899
148,0.4492633017268315
149,0.3468286774640372
150,0.4367031445441793
151,0.3740521800601928
152,0.43329679077044014
153,0.42838333557146907
154,0.49718619551770765
155,0.4508210131555106
156,0.4269123034296612
157,0.40461700115331223
158,0.4375963432795553
159,0.4383181666507268
160,0.44486490524401284
161,0.4022798708643994
162,0.21386213499578108
163,0.17277772418615694
164,0.49481664477994053
165,0.22746762507963328
166,0.388609660945026
167,0.3401327271751238
168,0.2810610015867468
169,0.4236382785518784
170,0.35866998537556044
171,0.34605685335863173
172,0.444774795956632
173,0.3743297094483928
174,0.36859314107011654
175,0.355927981383335
176,0.15996860317408906
177,0.23670875408446
178,0.3437235133443936
179,0.33988071474412757
180,0.2963864524415879
181,0.16202316217140159
182,0.14255529925114852
183,0.14194177411612743
184,0.24586379579828385
185,0.32981342694094223
186,0.3053592075473051
187,0.33306126391023566
188,0.2227588919844277
189,0.3665666413494353
190,0.21789199942822368
191,0.2913827630445421
192,0.25160483162048025
193,0.31078782354464923
194,0.2605375099126219
195,0.2175599676555308
196,0.28875377082190073
197,0.3595390931528617
198,0.20469154140114676
199,0.13650299200516244
200,0.329499785502719
201,0.38846716424692895
202,0.17040677548716035
203,0.12227199929565871
204,0.2753935062099223
205,0.23032160020672432
206,0.26438416700957623
207,0.18641821095167213
208,0.09707787871682064
209,0.12452867635317823
210,0.21625993498601354
211,0.20833934957460165
212,0.1797810986532802
213,0.293621000272229
214,0.13002388891042269
215,0.12407757438102013
216,0.23052964307845725
217,0.2662383415851504
218,0.2370953956294599
219,0.2862139645270366
220,0.319822031582394
221,0.17115126597513522
222,0.1363588226674545
223,0.13893951112744937
224,0.18444288484726964
225,0.14876813031488156
226,0.35553104549498205
227,0.08549808396006066
228,0.08445135959310447
229,0.38727895416711244
230,0.39871323209930076
231,0.08965099670928887
232,0.20204352243456236
233,0.11447664365459706
234,0.10200390868402033
235,0.16745244778043109
236,0.19828723053247063
237,0.1702702268459116
238,0.11195635152596689
239,0.20048578281670393
240,0.1030640421433055
241,0.10290941198142885
242,0.10923639908861782
243,0.06598102759381946
244,0.0852711061162868
245,0.08419458012889766
246,0.09603900927497121
247,0.097066150411163
248,0.10304730764676909
249,0.3370104389921077
250,0.3005626025005667
