ward_number,ward_name,mean_annual_rainfall_millimeters
163,SANGAM VIHAR-A,780.4749446362257
164,DAKSHIN PURI,797.0250193839402
165,MADANGIR,798.2381648570299
166,PUSHP VIHAR,798.2381648570299
167,KHANPUR,797.9020340522694
168,SANGAM VIHAR-C,788.3332323158826
169,SANGAM VIHAR-B,802.1977689379485
170,TUGHLAKABAD EXTENSION,779.4278455728804
171,CHITARANJAN PARK,788.6858350709488
172,CHIRAG DELHI,805.918616090474
173,GREATER KAILASH,814.8390546946532
174,SRI NIWAS PURI,809.3285198412193
175,KALKAJI,787.47643765022
176,GOVIND PURI,776.9614596366882
177,HARKESH NAGAR,777.7293200178816
178,TUGHLAKABAD,776.9614596366882
179,PUL PEHLADPUR,795.1291946874435
180,BADARPUR,800.7492207458358
181,MOLARBAND,806.5364045671055
182,MEETHAPUR,808.9054067730904
183,HARI NAGAR EXTENSION,797.9971779552706
184,JAITPUR,797.1036638272905
185,MADANPUR KHADAR EAST,796.712013065815
186,MADANPUR KHADAR WEST,788.8471960152921
187,SARITA VIHAR,793.5786667782194
188,ABUL FAZAL ENCLAVE,810.3678562777434
189,ZAKIR NAGAR,811.3755658119917
190,NEW ASHOK NAGAR,830.1877759670623
191,MAYUR VIHAR PHASE-I,827.2052975835792
192,TRILOKPURI,837.8028646889387
193,KONDLI,836.7809696709086
194,GHAROLI,838.072704116587
195,KALYANPURI,838.072704116587
196,MAYUR VIHAR PHASE-II,832.1442895824293
197,PATPAR GANJ,814.031550812384
198,VINOD NAGAR,821.3792427004801
199,MANDAWALI,820.4253306195596
200,PANDAV NAGAR,820.3581085968481
201,LALITA PARK,820.4253306195596
202,SHAKARPUR,820.4253306195596
203,LAXMI NAGAR,820.4253306195596
204,PREET VIHAR,822.652615507758
205,I.P. EXTENSION,837.3003389635342
206,ANAND VIHAR,846.6810124514215
207,VISHWAS NAGAR,822.5520848038001
208,ANARKALI,820.1062063675431
209,JAGAT PURI,820.2324397526564
210,GEETA COLONY,820.2218709090064
211,KRISHNA NAGAR,820.117476043971
212,GANDHI NAGAR,820.917725715547
213,SHASTRI PARK,830.0735243024452
214,AZAD NAGAR,820.0928476779238
215,SHAHDARA,820.0928476779238
216,JHILMIL,846.0421188590668
217,DILSHAD COLONY,851.0089715460822
218,SUNDAR NAGRI,851.0089715460822
219,DILSHAD GARDEN,850.0095278865514
220,NAND NAGRI,846.7514544879672
221,ASHOK NAGAR,820.0928476779238
222,RAM NAGAR EAST,822.5403741508195
223,ROHTASH NAGAR,820.0928476779238
224,WELCOME COLONY,820.0928476779238
225,SEELAMPUR,820.0928476779238
226,GAUTAM PURI,831.9629582938641
227,CHAUHAN BANGER,820.0928476779238
228,MAUJPUR,820.0928476779238
229,BRAHAM PURI,833.2343298403795
230,BHAJANPURA,839.0611365835423
231,GHONDA,820.0928476779238
232,YAMUNA VIHAR,824.8284601809416
233,SUBHASH MOHALLA,820.0928476779238
234,KABIR NAGAR,820.0928476779238
235,GORAKH PARK,820.0928476779238
236,KARDAM PURI,820.0928476779238
237,HARSH VIHAR,848.9538694071282
238,SABOLI,844.1510135979921
239,GOKAL PURI,837.0650929894911
240,JOHARIPUR,837.4567601889889
241,KARAWAL NAGAR-EAST,837.4567601889889
242,DAYALPUR,837.4567601889889
243,MUSTAFABAD,837.4567601889889
244,NEHRU VIHAR,837.4567601889889
245,BRIJ PURI,837.4567601889889
246,SRI RAM COLONY,839.4048593644059
247,SADATPUR,837.4567601889889
248,KARAWAL NAGAR-WEST,837.4567601889889
249,SONIA VIHAR,845.9786578584726
250,SABAPUR,843.7801200659605
