ward_number,ward_name,jhuggi_jhopri_clusters_apportioned,jhuggi_jhopri_households,jhuggi_jhopri_area_square_meters,jhuggi_jhopri_area_fraction
185,MADANPUR KHADAR EAST,1.55,562,23393,0.00357
186,MADANPUR KHADAR WEST,1.59,574,23904,0.00783
187,SARITA VIHAR,1.56,564,23506,0.00429
188,ABUL FAZAL ENCLAVE,2.14,774,32260,0.00959
189,ZAKIR NAGAR,2.16,779,32455,0.00708
190,NEW ASHOK NAGAR,2.64,799,14124,0.00984
191,MAYUR VIHAR PHASE-I,3.68,1112,19654,0.0111
192,TRILOKPURI,3.68,1111,19635,0.02004
193,KONDLI,2.28,1140,27197,0.00864
194,GHAROLI,2.72,1361,32476,0.01158
195,KALYANPURI,3.01,1507,35952,0.01403
196,MAYUR VIHAR PHASE-II,2.25,1134,44035,0.01743
197,PATPAR GANJ,2.37,1197,46486,0.00473
198,VINOD NAGAR,2.38,1200,46624,0.04556
199,MANDAWALI,2.01,1013,39359,0.06209
200,PANDAV NAGAR,1.18,309,8872,0.00209
201,LALITA PARK,0.93,243,6971,0.0013
202,SHAKARPUR,1.1,288,8277,0.00696
203,LAXMI NAGAR,0.79,208,5978,0.00593
204,PREET VIHAR,2.35,1263,32772,0.00991
205,I.P. EXTENSION,2.72,1458,37817,0.01281
206,ANAND VIHAR,2.54,1365,35406,0.00687
207,VISHWAS NAGAR,2.39,1282,33251,0.01603
208,ANARKALI,0.9,404,12562,0.01386
209,JAGAT PURI,1.2,537,16692,0.01618
210,GEETA COLONY,0.93,418,12984,0.01234
211,KRISHNA NAGAR,0.97,433,13468,0.00584
212,GANDHI NAGAR,2.52,1705,36300,0.01791
213,SHASTRI PARK,2.78,1883,40089,0.01323
214,AZAD NAGAR,2.7,1832,39003,0.03623
215,SHAHDARA,3.77,1965,30744,0.02692
216,JHILMIL,3.74,1949,30497,0.01242
217,DILSHAD COLONY,4.18,2178,34075,0.01915
218,SUNDAR NAGRI,9.05,4139,94593,0.08992
219,DILSHAD GARDEN,4.32,2253,35254,0.01886
220,NAND NAGRI,7.95,3637,83119,0.04551
221,ASHOK NAGAR,0.99,128,1502,0.00138
222,RAM NAGAR EAST,0.99,128,1502,0.00157
223,ROHTASH NAGAR,0.92,118,1394,0.00124
224,WELCOME COLONY,1.09,140,1649,0.00118
225,SEELAMPUR,1.33,496,15143,0.02038
226,GAUTAM PURI,1.08,402,12268,0.00317
227,CHAUHAN BANGER,1.23,459,14015,0.02594
228,MAUJPUR,1.35,503,15364,0.01649
229,BRAHAM PURI,0.0,0,0,0.0
230,BHAJANPURA,0.0,0,0,0.0
231,GHONDA,0.0,0,0,0.0
232,YAMUNA VIHAR,0.0,0,0,0.0
233,SUBHASH MOHALLA,0.48,2129,26068,0.03896
234,KABIR NAGAR,0.46,2040,24975,0.03764
235,GORAKH PARK,0.53,2358,28867,0.03995
236,KARDAM PURI,0.54,2417,29590,0.02053
237,HARSH VIHAR,0.27,196,4579,0.00171
238,SABOLI,0.24,177,4132,0.00242
239,GOKAL PURI,0.25,184,4302,0.00275
240,JOHARIPUR,0.24,178,4147,0.00317
241,KARAWAL NAGAR-EAST,0.0,0,0,0.0
242,DAYALPUR,0.0,0,0,0.0
243,MUSTAFABAD,0.0,0,0,0.0
244,NEHRU VIHAR,0.0,0,0,0.0
245,BRIJ PURI,0.0,0,0,0.0
246,SRI RAM COLONY,0.0,0,0,0.0
247,SADATPUR,0.0,0,0,0.0
248,KARAWAL NAGAR-WEST,0.0,0,0,0.0
249,SONIA VIHAR,0.0,0,0,0.0
250,SABAPUR,0.0,0,0,0.0
